Streamline ID,Unit,Area,City,State,Listing URL (KeyData canonical),Airbnb ID,VRBO ID,Missing Airbnb,Missing VRBO,Dark both OTAs,Reviews w/o listing ID,Not active in KeyData,No area,Note
1092905,Eclectic Vibe,PalmSprings,Palm Springs,CA,https://www.casagosocal.com/vacation-rentals/coachella-valley/palm-springs/eclectic-vibe-o,734730888102218289,,,X,,,,,
1092806,Mid Mod Sunsation,PalmSprings,Palm Springs,CA,https://www.casagosocal.com/vacation-rentals/coachella-valley/palm-springs/mid-mod-sunsation,19607469,,,X,,,,,
1092709,Modern Luxe,PalmSprings,Palm Springs,CA,https://casago.com/rental/1092709.html,48993229,,,X,,,,,
1124227,ONBOARDING - Sunrise on Park,PalmSprings,Palm Springs,CA,https://casago.com/rental/1124227.html,,,X,X,X,,,,
1127261,ONBOARDING - The Modern Fairway,PalmSprings,Palm Springs,CA,https://casago.com/rental/1127261.html,,,X,X,X,,,,
1051000,Palm Desert Oasis on the Green,PalmSprings,Palm Desert,CA,https://www.casagosocal.com/vacation-rentals/coachella-valley/palm-desert/palm-desert-oasis-on-the-green,1683520016731306260,,,X,,,,,
1050604,Paradise Views Townhome,PalmSprings,Palm Springs,CA,,48212077,5135378,,,,,X,,
1051176,Poolside Modern Wexler - 1261,PalmSprings,Palm Springs,CA,https://casago.com/rentals/1014356,,5136123,X,,,,,,
1121121,The Fairway Palm Springs,PalmSprings,Palm Springs,CA,https://casago.com/rental/1121121.html,1742100541455921032,,,X,,,,,
1129491,Desert Shores,Coachella,Cathedral City,CA,https://casago.com/rental/1129491.html,1745065684356046292,,,X,,,,,
1130036,Hollywood Oasis,Coachella,Twentynine Palms,CA,https://casago.com/rental/1130036.html,,,X,X,X,,,,
1121874,The Cove Villa,Coachella,La Quinta,CA,https://casago.com/rental/1121874.html,,,X,X,X,,,,
1050737,Glorious Glendale Getaway,Phoenix,Glendale,AZ,https://casago.com/rentals/1013936,,5135551,X,,,,,,
1051077,Paradise Valley Vacation Home,Phoenix,Phoenix,AZ,https://www.casagoarizona.com/vacation-rentals/phoenix/phoenix/paradise-valley-vacation-home,,,X,X,X,,,,
1128196,Rolling Hills Haven,Phoenix,Sun City,AZ,https://casago.com/rental/1128196.html,,,X,X,X,,,,
1051039,Spacious Relaxing Sanctuary,Phoenix,Goodyear,AZ,,1747386065228174906,5135977,,,,,X,,
1128195,The Urban Vale,Phoenix,Tempe,AZ,https://casago.com/rental/1128195.html,,,X,X,X,,,,
1039399,Troon North Golf Casitas - TC102,Phoenix,Scottsdale,AZ,https://www.casagoarizona.com/vacation-rentals/scottsdale/scottsdale/troon-north-golf-casitas-TC102,,384316,X,,,,,,
1051241,Vistoso Resort Casita #149,Tucson,Oro Valley,AZ,,22368907,5136191,,,,,X,,
1126707,167 San Luis St Unit A,Central Coast,Avila Beach,CA,https://casago.com/rental/874533.html,,,X,X,X,,,,
1126708,167 San Luis St Unit C,Central Coast,Avila Beach,CA,,,,X,X,X,,X,,
1101751,Gallaher,Central Coast,Santa Barbara,CA,https://www.casagosocal.com/vacation-rentals/central-coast/santa-barbara/gallaher,,5294214,X,,,X,,,"Airbnb: 6 review(s), latest 2026-06-06"
1101724,Gateshead Haven,Central Coast,Oxnard,CA,https://www.casagosocal.com/vacation-rentals/central-coast/oxnard/gateshead-haven,1613981016625214954,,,X,,,,,
1126676,Lillie by the Sea - Guest House,Central Coast,Summerland,CA,https://casago.com/santa-barbara/lillie-by-the-sea,,,X,X,X,,,,
1101639,Pismo Paradise,Central Coast,Pismo Beach,CA,https://www.casagosocal.com/vacation-rentals/central-coast/pismo-beach/pismo-paradise,1613980042100646246,,,X,,,,,
1101744,Sailaway Cabin,Central Coast,Ventura,CA,https://www.casagosocal.com/vacation-rentals/central-coast/ventura/sailaway-cabin,1613980590143218163,,,X,,,,,
