priority,unit,area,property_group,what_is_wrong,what_to_fix,detail,streamline_unit_id,airbnb_url,vrbo_url,website_url,admin_url,owner,status,notes
high,Hilltop Heaven,(unassigned),,No area assigned,Assign the unit to an area in Streamline. Nothing routes correctly without it.,,1101745,,,https://casago.com/rental/1101745.html,,,open,
high,Hilltop Heaven,(unassigned),,Dark on every verified OTA,"Confirm whether this unit is meant to be selling. If yes, create or relink both OTA listings. If no, set it Non-Renting so it stops appearing here.",,1101745,,,https://casago.com/rental/1101745.html,,,open,
high,San Moritz Lake House,(unassigned),,No area assigned,Assign the unit to an area in Streamline. Nothing routes correctly without it.,,1126958,https://www.airbnb.com/rooms/1719680217336202937,https://www.vrbo.com/5367265,https://www.casagosocal.com/vacation-rentals/lake-arrowhead/crestline/san-moritz-lake-house,,,open,
high,167 San Luis St Unit A,Central Coast,,Dark on every verified OTA,"Confirm whether this unit is meant to be selling. If yes, create or relink both OTA listings. If no, set it Non-Renting so it stops appearing here.",,1126707,,,https://casago.com/rental/874533.html,,,open,
high,167 San Luis St Unit C,Central Coast,,Dark on every verified OTA,"Confirm whether this unit is meant to be selling. If yes, create or relink both OTA listings. If no, set it Non-Renting so it stops appearing here.",,1126708,,,,,,open,
high,167 San Luis St Unit C,Central Coast,,Not active in KeyData,Activate the unit in KeyData so its performance is tracked.,,1126708,,,,,,open,
high,Gallaher,Central Coast,,No Airbnb listing ID,"Open the unit in Streamline and add the Airbnb listing ID under Distribution Channel Settings. If no Airbnb listing exists, create one.",,1101751,,https://www.vrbo.com/5294214,https://www.casagosocal.com/vacation-rentals/central-coast/santa-barbara/gallaher,,,open,
high,Gallaher,Central Coast,,Guest reviews but no listing ID,"The listing is live and taking bookings — do NOT rebuild it. Find the live listing, copy its ID, and paste it into Streamline.","Airbnb: 6 review(s), latest 2026-06-06",1101751,,https://www.vrbo.com/5294214,https://www.casagosocal.com/vacation-rentals/central-coast/santa-barbara/gallaher,,,open,
high,Gateshead Haven,Central Coast,,No VRBO listing ID,"Open the unit in Streamline and add the VRBO listing ID under Distribution Channel Settings. If no VRBO listing exists, create one.",,1101724,https://www.airbnb.com/rooms/1613981016625214954,,https://www.casagosocal.com/vacation-rentals/central-coast/oxnard/gateshead-haven,,,open,
high,Lillie by the Sea - Guest House,Central Coast,,Dark on every verified OTA,"Confirm whether this unit is meant to be selling. If yes, create or relink both OTA listings. If no, set it Non-Renting so it stops appearing here.",,1126676,,,https://casago.com/santa-barbara/lillie-by-the-sea,,,open,
